chapter             	   12
i                   	  545
.                   	  989
down                	  102
the                 	 1638
rabbit-hole         	    4
alice               	  397
was                 	  368
beginning           	   14
to                  	  725
get                 	   46
very                	  144
tired               	    7
of                  	  511
sitting             	   10
by                  	   57
her                 	  248
sister              	    9
on                  	  193
bank                	    3
,                   	 2418
and                 	  866
having              	   10
nothing             	   34
do                  	  142
:                   	  233
once                	   34
or                  	   77
twice               	    5
she                 	  553
had                 	  186
peeped              	    3
into                	   67
book                	    7
reading             	    3
but                 	  170
it                  	  595
no                  	   90
pictures            	    4
conversations       	    2
in                  	  366
‘                   	 1115
what                	  141
is                  	  115
use                 	   18
a                   	  631
’                   	 1112
thought             	   74
without             	   26
?                   	  202
so                  	  151
considering         	    3
own                 	   10
mind                	   11
(                   	   51
as                  	  263
well                	   60
could               	   86
for                 	  153
hot                 	    5
day                 	   25
made                	   30
feel                	    8
sleepy              	    5
stupid              	    6
)                   	   56
whether             	   11
pleasure            	    2
making              	    8
daisy-chain         	    1
would               	   96
be                  	  148
worth               	    4
trouble             	    6
getting             	   22
up                  	   98
picking             	    2
daisies             	    1
when                	   79
suddenly            	   13
white               	   30
rabbit              	   47
with                	  181
pink                	    1
eyes                	   29
ran                 	   16
close               	   13
there               	   99
remarkable          	    2
that                	  315
;                   	  194
nor                 	    3
did                 	   77
think               	   53
much                	   51
out                 	  113
way                 	   53
hear                	   14
say                 	   51
itself              	   14
oh                  	   45
dear                	   29
!                   	  450
shall               	   25
late                	    6
over                	   40
afterwards          	    2
occurred            	    2
ought               	   14
have                	   88
wondered            	    1
at                  	  212
this                	  134
time                	   68
all                 	  182
seemed              	   27
quite               	   55
natural             	    4
actually            	    1
took                	   24
watch               	    8
its                 	   57
waistcoat-pocket    	    2
looked              	   45
then                	   94
hurried             	   11
started             	    2
feet                	   19
flashed             	    1
across              	    5
never               	   47
before              	   38
seen                	   15
either              	   10
take                	   22
burning             	    1
curiosity           	    5
field               	    1
after               	   42
fortunately         	    1
just                	   52
see                 	   67
pop                 	    1
large               	   33
under               	   16
hedge               	    2
another             	   22
moment              	   31
went                	   83
how                 	   68
world               	    7
again               	   83
straight            	    2
like                	   85
tunnel              	    1
some                	   51
dipped              	    2
not                 	  145
about               	   94
stopping            	    1
herself             	   83
found               	   32
falling             	    2
deep                	    7
fell                	    6
slowly              	    8
plenty              	    2
look                	   28
wonder              	   18
going               	   27
happen              	    8
next                	   30
first               	   51
tried               	   19
make                	   27
coming              	    9
too                 	   26
dark                	    3
anything            	   20
sides               	    4
noticed             	    8
they                	  152
were                	   86
filled              	    3
cupboards           	    2
book-shelves        	    1
here                	   51
saw                 	   14
maps                	    1
hung                	    1
upon                	   26
pegs                	    1
jar                 	    2
from                	   36
one                 	  104
shelves             	    1
passed              	    5
labelled            	    1
orange              	    1
marmalade           	    1
great               	   39
disappointment      	    1
empty               	    1
drop                	    1
fear                	    4
killing             	    1
somebody            	    7
managed             	    4
put                 	   31
past                	    1
such                	   41
fall                	    7
tumbling            	    2
stairs              	    3
brave               	    1
’ll                 	   57
me                  	   68
home                	    5
why                 	   40
n’t                 	  217
even                	   19
if                  	   96
off                 	   73
top                 	    8
house               	   18
which               	   49
likely              	    5
true                	    4
come                	   46
an                  	   57
end                 	   18
many                	   12
miles               	    3
’ve                 	   44
fallen              	    4
said                	  462
aloud               	    5
must                	   44
somewhere           	    3
near                	   15
centre              	    1
earth               	    4
let                 	   22
four                	    6
thousand            	    2
--                  	  264
you                 	  411
learnt              	    2
several             	    4
things              	   30
sort                	   20
lessons             	   10
schoolroom          	    1
though              	   11
good                	   24
opportunity         	    8
showing             	    2
knowledge           	    3
listen              	    7
still               	   13
practice            	    1
yes                 	   13
’s                  	  200
right               	   31
distance            	    8
latitude            	    2
longitude           	    2
got                 	   45
idea                	   15
nice                	    6
grand               	    3
words               	   21
presently           	    2
began               	   58
through             	   14
funny               	    3
seem                	    8
among               	   12
people              	   13
walk                	    5
their               	   52
heads               	   10
downward            	    1
antipathies         	    1
rather              	   25
glad                	   11
listening           	    3
sound               	    4
word                	   10
ask                 	   11
them                	   88
name                	   10
country             	    1
know                	   87
please              	   19
ma                  	    3
am                  	   16
new                 	    5
zealand             	    1
australia           	    1
curtsey             	    1
spoke               	   17
fancy               	    7
curtseying          	    1
’re                 	   38
air                 	   14
manage              	    7
ignorant            	    1
little              	  128
girl                	    4
asking              	    5
perhaps             	   17
written             	    6
else                	   12
soon                	   25
talking             	   17
dinah               	   14
miss                	    4
to-night            	    1
should              	   32
cat                 	   37
hope                	    3
remember            	   14
saucer              	    1
milk                	    1
tea-time            	    2
my                  	   58
wish                	   21
are                 	   54
mice                	    4
’m                  	   59
afraid              	   12
might               	   28
catch               	    4
bat                 	    3
mouse               	   43
cats                	   13
eat                 	   18
bats                	    4
saying              	   15
dreamy              	    1
sometimes           	    5
answer              	    9
question            	   17
matter              	    9
felt                	   23
dozing              	    1
begun               	    7
dream               	    7
walking             	    5
hand                	   20
earnestly           	    2
now                 	   60
tell                	   32
truth               	    1
ever                	   21
thump               	    2
came                	   40
heap                	    1
sticks              	    1
dry                 	    8
leaves              	    6
bit                 	   16
hurt                	    3
jumped              	    6
overhead            	    1
long                	   32
passage             	    4
sight               	   10
hurrying            	    1
lost                	    3
away                	   25
wind                	    2
turned              	   16
corner              	    4
ears                	    5
whiskers            	    3
behind              	   13
longer              	    3
low                 	   14
hall                	    9
lit                 	    1
row                 	    2
lamps               	    1
hanging             	    3
roof                	    6
doors               	    2
round               	   41
locked              	    1
been                	   38
side                	   17
other               	   40
trying              	   14
every               	   12
door                	   30
walked              	   10
sadly               	    5
middle              	    7
wondering           	    7
three-legged        	    2
table               	   18
solid               	    1
glass               	    9
except              	    4
tiny                	    4
golden              	    7
key                 	    9
belong              	    1
alas                	    4
locks               	    2
small               	   10
any                 	   39
rate                	    9
open                	    7
however             	   20
second              	    4
curtain             	    1
fifteen             	    1
inches              	    6
high                	   16
lock                	    1
delight             	    3
fitted              	    1
opened              	   10
led                 	    4
larger              	    7
than                	   24
rat-hole            	    1
knelt               	    1
along               	    6
loveliest           	    1
garden              	   16
longed              	    2
wander              	    1
those               	   10
beds                	    1
bright              	    7
flowers             	    2
cool                	    2
fountains           	    2
head                	   50
doorway             	    1
go                  	   50
poor                	   27
shoulders           	    4
shut                	    5
telescope           	    3
only                	   50
knew                	   15
begin               	   13
out-of-the-way      	    3
happened            	    7
lately              	    1
few                 	    9
indeed              	   16
really              	   13
impossible          	    3
waiting             	    9
back                	   38
half                	   21
hoping              	    3
find                	   21
rules               	    3
shutting            	    2
telescopes          	    1
bottle              	   10
[                   	    7
certainly           	   14
neck                	    7
paper               	    4
label               	    2
drink               	    7
beautifully         	    2
printed             	    1
letters             	    1
wise                	    2
hurry               	   11
marked              	    6
“                   	   61
poison              	    3
”                   	   52
read                	   11
histories           	    1
children            	   10
who                 	   63
burnt               	    1
eaten               	    1
wild                	    2
beasts              	    2
unpleasant          	    2
because             	   15
simple              	    5
friends             	    2
taught              	    4
red-hot             	    1
poker               	    1
will                	   33
burn                	    2
hold                	   10
cut                 	    5
your                	   62
finger              	    5
deeply              	    4
knife               	    2
usually             	    2
bleeds              	    1
forgotten           	    6
almost              	    6
certain             	    3
disagree            	    1
sooner              	    2
later               	    3
ventured            	    4
taste               	    2
finding             	    3
fact                	    8
mixed               	    2
flavour             	    1
cherry-tart         	    1
custard             	    1
pine-apple          	    1
roast               	    1
turkey              	    1
toffee              	    1
buttered            	    1
toast               	    1
finished            	   12
*                   	   60
curious             	   19
